タイトル,あらすじ,ジャンル
これがクリスティアーノ・ロナウドだ! 地球上で最も議論されるアスリート,サッカー界の大スター、クリスティアーノ･ロナウド。彼はいかにして今の栄光を勝ち取ったのか。その生い立ちからプロ選手としての軌跡を追うドキュメンタリー。,スポーツドキュメンタリー
クリープ,ある映像作家のもとに景気の良い依頼が舞い込む。上機嫌で山奥に依頼主を訪ねると、時間の経過とともに彼の奇妙な言動が気になり始め…。,高い評価を得た映画
SEXテープ,倦怠期を迎えた夫婦が、気分を盛り上げようと夜の営みを録画する。しかし、どこをどう間違ったのかその動画がクラウドにアップされ、ネット流出の危機に!,コミカルなコメディ
ゾンビスクール!,給食のチキンナゲットを食べた小学生がゾンビ化。次々と周囲の子供たちを襲い、校内はゾンビだらけに。ゾンビキッズと教師の壮絶な戦いを描いたゾンビコメディ。,ダークコメディ
ソルジャーズ～連合軍を救った男たち～,第2次世界大戦の最終決戦に向け、連合軍上層部は奇襲作戦を考案。アメリカ軍大尉が率いるイギリス軍特殊部隊は、敵の占領地帯に潜入する危険な任務に挑む。,軍隊・戦争系アクション
フルスロットル,軍隊力を増強しているデトロイトの隔離地区。そこへ送り込まれた潜入捜査官は、殺された父の復讐をし、ドラッグ王の陰謀を阻止しようと挑む!,犯罪アクション・アドベンチャー
フライト・ゲーム,NY発ロンドン行旅客機の警備のため、客を装って乗り込む航空保安官。離陸後、大金を送金をしなければ機内の誰かを殺すという犯行予告メールが彼の携帯に届く。,ミステリー
ミスター・ダイナマイト: ファンクの帝王ジェームス・ブラウン,"""ソウルの父""ジェームス・ブラウンの生涯を綴るドキュメンタリー。親に捨てられ、貧しく暮らした幼少時代からファンクの帝王となるまでの軌跡とは。",海外ドキュメンタリー
カンフー・ジャングル,人を殺めて服役中の元武術教官は、武術の達人だけを狙った連続殺人事件の捜査に協力。仮釈放されて犯人を追う男が振るうのは、正義の拳か? それとも殺意の拳か?,犯罪アクション・アドベンチャー
ラストミッション,死期が近づくスパイに、病気に効くかもしれない新薬を条件に暗殺が持ちかけられる。だがこのミッション、想像より危険な代償を払うはめに…。,犯罪アクション・アドベンチャー
S.I.U. ロサンゼルス特捜隊,米国の重要施設を標的とする大規模テロ計画の存在が浮上。刻一刻と迫る攻撃の阻止に向け、ロサンゼルスの特殊捜査隊S.I.U.による最も危険な捜査が始まる。,犯罪アクション・アドベンチャー
ラスト･シフト/最期の夜勤,閉鎖が決まった警察署で1人待機する新人女警官。だが、来るはずの業者は到着せず、やがて不可解な怪現象が起こり始める。必死に任務を全うしようとする彼女だが…。,超常現象ホラー
スパイ・レジェンド,静かな引退生活を送っていた伝説のCIAエージェントが、重要な証人を保護すべく現場に復帰。だが、かつての仲間が最も危険な敵という衝撃の事実に直面する。,アメリカ映画
僕と世界の方程式,数字と図形だけが友達の天才少年・ネイサンは、人とのコミュニケーションが苦手。だが1人の数学教師の助けにより、数学の才能で自ら道を切り拓いていく。,インディーズ系ヒューマンドラマ
マイリトルポニー: エクエストリア・ガールズ - 虹の冒険,人間界のキャンタロット高校でバンドコンテストが開かれる。レインボーダッシュ、アップルジャックをはじめとした仲間たちは新バンドを組み出場することに!,リトルキッズ
神は死んだのか,無神論者の哲学教授は、授業の初日から神の存在を否定するよう生徒に強要する。これに噛みついたのが、信仰心厚い生徒。果たして、神の存在を証明出来るのか。,青春・学園
サン・オブ・ゴッド,2013年制作のTVシリーズを基に、イエス・キリストの誕生から復活までを描いた大作。数々の奇跡を起こしたとされる神の御子、その数奇な運命とは?,海外/ヒューマンドラマ
スティーヴン・キング ファミリー・シークレット,連続殺人鬼と家族につきまとう謎の男による恐怖の中、妻はある事実を発見する。夫との結婚生活だけでなく、自分の命をもおびやかす禁断の秘密がいま明かされる。,本が原作のヒューマンドラマ
ヴィルンガ,アフリカの最も貴重な国立公園とそこに生息する絶滅が危惧されるゴリラを、命懸けで守るレンジャーたちの実話を記録した、感動のアカデミー賞ノミネート作品。,自然・生態系ドキュメンタリー
イヴ・サンローラン,若くしてクリスチャン・ディオール主任デザイナーとなったイヴ・サンローラン。神経衰弱の発症、パートナーとの運命的な出会いなどその知られざる人生を描く。,海外LGBTQ映画
Mr.タスク,ポッドキャストを運営する男は、面白ネタを求めて元船員の老人を訪ねる。だが、老人は、人間をセイウチに改造する狂人だった。悪魔の手術が、男に施されてゆく。,海外映画
バークレイ・マラソン: 前代未聞の超ウルトラ耐久レース,実際の脱獄の話をヒントに考案されたという、世界一過酷な耐久レース。我こそはと参加者が世界から集まるが、実際にゴールを切るのはほんの一握りだ。,スポーツドキュメンタリー
愛のタリオ,田舎町に赴任してきた講師に、少女は身も心も全てを捧げたが、あっけなく捨てられてしまう。純愛は時を経て憎悪に変わり、女になった少女は男の前に現れるが...。,韓国/ラブロマンス
アイ・フランケンシュタイン,フランケンシュタイン博士に創造され、秘かに生きながらえていた怪物アダムが、彼を利用しようと目論む悪魔に狙われ、天使と悪魔の戦いに巻き込まれていく。,ファンタジー
アザーズ －捕食者－,凄腕の傭兵部隊が巨大企業から受けた依頼。それは、研究施設から新エネルギー研究の第一人者を救出すること。果たして、この施設には何が待ち構えているのか?,SFアクション
モンスター上司2,いやな上司にうんざりした3人の友人が、独立して起業を決意。だが、悪徳投資家にだまされ一文無しに。そこで3人は身代金目当ての誘拐を計画する。,コミカルなコメディ
ビッグ・アイズ,"ポップアート隆盛期に大ブームとなった絵画、""ビッグ・アイズ""シリーズ。作者は富と名声を手にしたが、実は絵は全て妻の作品。ついに、妻は告白を決意する。",インディーズ系ヒューマンドラマ
365日のシンプルライフ,物質志向の強い26才の男性が、失恋を機に、モノと自分の関わりを見つめ直し、シンプルライフを追求するドキュメンタリー。,海外ドキュメンタリー
ファルコン・ライジング,武術の達人で海軍特殊部隊の元兵士は、妹を襲った残虐な犯人を突き止めるためにブラジルに向かう。そこで待ち受けていたのは、街を牛耳るヤクザの存在だった。,犯罪アクション・アドベンチャー
インペリアル・ドリーム,罪を償い出所した青年は、作家を目指しながら幼い息子と穏やかに暮らすはずだった。だが犯罪と貧困に蝕まれたこの街では、そんなささやかな願いも夢のまた夢。,高い評価を得た映画
ハンガーフォード,メディアコースの課題のため自分の日常を撮影し始めたコーエン。レンズを通して、数々の暴力を目の当たりにする中、邪悪な力が町に潜んでいることに気付く。,海外映画
情愛中毒,1969年、韓国の軍官舎へ新しく来た部下の妻に、既婚の大佐が恋をする。止まらない想いと、激しく純粋な情事の行方は...?,韓国/ラブロマンス
レストレポ前哨基地 Part.2,アフガニスタンの死の谷・コレンガル渓谷に派兵された米軍小隊に1年密着。リアルな戦場を映し出し、アカデミー賞にノミネートされたドキュメンタリーの続編。,海外ドキュメンタリー
ビッグゲーム 大統領と少年ハンター,エアフォースワンが攻撃され、大統領は緊急脱出。山奥に取り残された大統領を助けたのは、13歳の少年ハンター。追っ手が迫る中、壮絶なサバイバルが始まる。,アドベンチャー
アルマゲドン2014,巨大な小惑星が地球に接近し、もはや衝突は避けられない。タイムリミットが迫る中、科学者チームは起死回生の作戦を決行。全ての生物の命運は、彼らに託された。,SFアクション
タイムトラベラーの系譜 サファイア・ブルー,「タイムトラベラーの系譜 ルビー・レッド」の続編。選ばれしタイムトラベラーとなったグウェンは引き続き時空を超える旅を繰り返し、一族の秘密を探ろうとする。,ファンタジー
ニューヨーク 眺めのいい部屋売ります,夫婦が40年暮らすアパートメントは街を一望できるが、エレベーターがないのが難点。2人は思い出深い家を売って新居を探そうとするが、様々な事件が巻き起こる。,本が原作のヒューマンドラマ
ウーマン・イン・ブラック2 死の天使,第二次世界大戦下のロンドン。戦況が激化する中、孤児院の教師は子供らと田舎へと疎開する。だが、到着した不気味な屋敷で、不可解な事件が次々に起こり始める。,海外ホラー
ヴァンパイア・アカデミー,ローズはヴァンパイアと人間のハーフ。聖ウラジミール学園で、吸血鬼のモロイ王族の護衛となるべく訓練を積む彼女は、王位継承を巡る争いに巻き込まれていく。,ファンタジー
ワールド・ウォー Z,謎のウイルスによって、突如凶暴化する人々。元国連捜査官が調査の中で目撃したのは、全世界で爆発的に拡大する感染と混乱。人類に残された時間は、あとわずか。,受賞歴のある映画
アフター・アース,人類が地球を捨ててから1000年が経過した未来。宇宙船が故障し地球に不時着する。1人の少年が帰還に必要な緊急シグナルを捜そうと大自然に足を踏み入れる。,大ヒットSF・ファンタジー
エリジウム,"2154年。スペースコロニー""エリジウム""に暮らす富裕層と、荒廃した地球に取り残され虐げられる貧困層とに二分された社会を描いたSFスリラー。",大ヒットSF・ファンタジー
ハングオーバー!!! 最後の反省会,あのおバカ軍団がまたまたラスベガスに出現。暴走を続けるアランを施設に収容しようとお馴染みの3人が集合。一方、チャウがタイの刑務所から脱獄し...。,欧米大ヒット映画
グランド・イリュージョン,大衆の面前で遠く離れた銀行から大金を盗みだしそれを観客にばらまくというパフォーマンスを見せたマジシャンチーム。FBI捜査員も煙に巻くそのトリックとは?,欧米大ヒット映画
オブリビオン,エイリアンの襲撃で地球は壊滅、人類は別の惑星へ移住した近未来。地球を監視するドローンのメンテ役のジャックは、宇宙船が地球に墜落するのを目撃し...。,大ヒットSF・ファンタジー
キャプテン・フィリップス,コンテナ船がソマリア海域で海賊に襲われ、乗組員の解放を条件に船長が自ら人質となる。米海軍特殊部隊による激しい救出作戦が繰り広げられる。,欧米大ヒット映画
華麗なるギャツビー,隣に住む大富豪ジェイ・ギャッツビーに興味を持ったニック・キャラウェイは、謎に包まれた隣人が抱くある女性への深い思慕とそれが故の悲劇を知ることになる…。,欧米大ヒット映画
ハンガー・ゲーム 2,ハンガーゲームから見事生還し凱旋ツアーで各地区を訪れるカットニス・エヴァディーン。その勇気に感銘を受けた人々は政府への反乱を決意するようになるが...。,SFヒューマンドラマ
ホワイトハウス・ダウン,謎の武装集団によるホワイトハウス襲撃・乗っ取り事件が発生。大混乱の中、その場に居合わせた議会警察官のジョンが大統領、娘、国の命運をかけた戦いに挑む。,欧米大ヒット映画
アメリカン・ハッスル,FBIに逮捕された凄腕詐欺師のアーヴィンと愛人のシドニー。彼らは無罪放免と引き替えに、前代未聞の大胆な囮捜査に協力するよう持ちかけられる。,欧米大ヒット映画
ジャンゴ 繋がれざる者,黒人奴隷のジャンゴは、自由と引き換えにドイツ人の賞金稼ぎに協力。お尋ね者を仕留めた後、2人は共に生き別れたジャンゴの妻を捜し出し、決死の救出劇に挑む。,ウェスタン
メン・イン・ブラック3,エイリアンの襲撃により危機に陥る地球。タイムスリップしたエージェントJは若き日のエージェントKと力を合わせて歴史の修正を図る。,タイムトラベル
ダークナイト ライジング,キャットウーマンやベインなど、新たな敵に脅かされるゴッサム。億万長者ブルース・ウェインは、ついに自分の分身バットマンのケープを再び身にまとう。,受賞歴のある映画
センター・オブ・ジ・アース2 神秘の島,謎の孤島にいる祖父から遭難信号を受け取ったショーンは、義理の父親とともに祖父の救出に向かう。しかし、その旅路は前途多難で…。,アドベンチャー
トータル・リコール,記憶が簡単に売買されるようになった近未来。記憶を買おうとした男は、想像さえしなかった混乱に巻き込まれてゆく。1990年の人気SFアクションのリメイク。,アメリカ映画
ボーン・レガシー,ジェイソン・ボーンの機密漏えいにより危機に陥ったCIAは、他に進めていた極秘プログラムの抹消を命令。CIAが養成したもう1人の暗殺者の逃亡劇が始まる。,アドベンチャー
テッド,テディベアのテッドに奇跡的に魂が宿ってから27年。下品なオヤジになったテッドは、自堕落なジョンといつも一緒。だがジョンに恋人ができ、別居生活が始まる。,ダークコメディ
アメイジング・スパイダーマン,高校生のピーター・パーカーが、クモに刺されて得た超人的能力を駆使し宿敵リザードとの戦いに挑む。装いも新たにリブートされたスーパーヒーローアクション。,大ヒットSF・ファンタジー
ハンガーゲーム,理想郷とは程遠い近未来。民衆の不満のはけ口は若者達が殺し合うサバイバルゲームだ。今回ある地区から選出されたのはカットニスとピータだった。,SFヒューマンドラマ
エクスペンダブルズ2,最強の傭兵軍団エクスペンダブルズが再び集結! 簡単なはずの任務が一転、仲間のひとりが殺される。怒らせたら最後。彼らは復讐に燃え敵陣へ乗り込む。,アドベンチャー
スノーホワイト,悪の女王は、美しい継娘スノーホワイトを殺そうと刺客を送り込む。だがスノーホワイトは刺客から戦術を学び、戦うヒロインとなり、継母に立ち向かう。,大ヒットSF・ファンタジー
トワイライト・サーガ／ブレイキング・ドーン Part 2,壮大な物語を描く映画シリーズの完結編。ベラとエドワードの間に娘が生まれたことにより、ヴォルトゥーリ一族との運命の対決が幕を開ける。,欧米大ヒット映画
ゴーストライダー2,自らに宿るゴーストライダーに苦しむジョニー・ブレイズは、悪魔ロアークからある少年を守ることに。少年を救い出し、自らの呪いを解くことができるのか!?,欧米大ヒット映画
ミッション：インポッシブル／ゴースト・プロトコル,クレムリン爆破テロで主犯の濡れ衣を着せられたイーサンと同僚エージェントは、追われながら無実を証明するはめに。過酷を極める任務は完了するのか?,アドベンチャー
ハングオーバー!! 史上最悪の二日酔い、国境を越える,ステュの結婚式に出席するためタイで再会した男たちは、翌朝メチャクチャになったホテルの部屋で目を覚ます。もちろん記憶があるはずもなく...。,ダークコメディ
ドラゴン・タトゥーの女,迷宮入りした40年前の少女失踪事件。その調査を依頼されたジャーナリストが、孤独な天才ハッカー少女と協力し、巨大財閥一族の忌まわしき秘密に迫る。,アカデミー賞受賞映画
世界侵略：ロサンゼルス決戦,突如現れた地球外生命体の攻撃で一気に壊滅状態となる地球。人類の未来は、アメリカ海兵隊に託された! ベテラン軍曹率いる小隊の戦いを描くアクション大作。,大ヒットSF・ファンタジー
グリーン・ランタン,地球人の代表として宇宙警察機構グリーンランタンの一員に選ばれた戦闘機のテスト・パイロット。宇宙の平和を背負う若者の壮大な冒険が今始まる...。,大ヒットSF・ファンタジー
トワイライト・サーガ/ブレイキング・ドーン Part 1,ついに結婚式を迎えたベラとエドワード。吸血鬼への転生を心待ちにするベラは、新婚旅行先で体の異変に気づく。禁断の恋は劇的な局面を迎え、新たな戦いを呼ぶ。,欧米大ヒット映画
ブライズメイズ 史上最悪のウェディングプラン,恋も仕事も崖っぷちの女。親友が婚約し、名誉ある花嫁介添人を頼まれる。ところがほかの介添人に出会い、競争心に火がつき、危うく大事な日をぶち壊しに...。,コミカルなコメディ
インセプション,相手の潜在意識に入り込んで考えを自在に変えられるスパイを描く、衝撃SFスリラー映画。,大ヒットSF・ファンタジー
エクスペンダブルズ,最強の寄せ集め傭兵軍団が、南米の独裁国家を転覆させるべく集結。普通の軍隊も手を出さない決死の作戦に臨むのは、もう彼らしかいない。,アドベンチャー
シャッター アイランド,精神障害犯罪者だけを収容する島から患者が失踪した。捜査に送り込まれた連邦保安官は異様な空気が漂う中、恐怖と掴めない真実に苛立ちを募らす。,心理サスペンス
アザー・ガイズ 俺たち踊るハイパー刑事!,俺たちはこのままじゃ終われない! NY市警のアレンとテリーは地味な窓際刑事。やる事は書類仕事ばかり...そんな彼らにいきなり一世一代の大チャンスが!?,コミカルなコメディ
デュー・デート ～出産まであと５日! 史上最悪のアメリカ横断～,妻の出産を数日後に控え家路につくも、ヘンな男のせいで搭乗を拒否された主人公。しぶしぶその男の車で家を目指すことになったがコイツが予想を超える曲者で…?,コミカルなコメディ
セックス・アンド・ザ・シティ2,キャリー、シャーロット、サマンサ、ミランダが一緒にバケーションへ。行先は異国情緒溢れる中東のアブダビ。ゴージャスな女子旅で4人を待っていたものとは?,欧米大ヒット映画
エクリプス／トワイライト・サーガ,復讐を伺う血に飢えた敵たち。ベラは吸血鬼エドワードへの変わらぬ愛と、狼男ジェイコブに惹かれる自分に戸惑っていた。,欧米大ヒット映画
イングロリアス・バスターズ,"占領下のパリにある映画館オーナーはユダヤ教徒。ナチス映画のプレミア上映をせざるを得なくなり、聞きつけたアメリカ人戦士""バスターズ""達が集結する。",アカデミー賞受賞映画
ハングオーバー 消えた花ムコと史上最悪の二日酔い,はめをはずして飲みまくった独身最後のパーティーの翌日。3人の友人たちが目を覚ますと、花婿になるはずの親友の姿がそこにはなかった。,ダークコメディ
サブウェイ123 激突,NYの地下鉄がハイジャックされた。身代金を要求した犯人は運行司令室のガーバーを交渉役に指名する。地下鉄を熟知した男と不敵な知能犯が無線越しに激突!,欧米大ヒット映画
2012,未曽有の天変地異が地球を襲う! 人類滅亡のカウントダウンが始まる中、家族を救うため1人の男が決死の脱出劇を繰り広げる。VFXを駆使したSF超大作。,大ヒットSF・ファンタジー
ターミネーター4,2018年に起こった核戦争で荒廃した世界。生き残った人間たちによる抵抗軍を指導するジョン・コナーは、人類滅亡を狙う機械軍との大決戦に挑むが…。,大ヒットSF・ファンタジー
そんな彼なら捨てちゃえば?,大ベストセラーとなったグレッグ・ベーレントの恋愛バイブルを原作に、ボルチモアに暮らす複数の男女の恋の駆け引きとその結末を描くロマンチックコメディ。,ラブコメディ
夫婦の楽園?! エデンへようこそ,離婚の危機を迎えた夫婦が、グループ割引を目的に3組のカップルを誘って、南国のリゾート地で行われるカップル・セラピーに旅立つ。夫婦関係は改善されるのか?,欧米大ヒット映画
アイアンマン,自ら開発したパワードスーツを装着しテロ組織から脱出した天才科学者が、鋼鉄のヒーロー、アイアンマンとしてハイテク技術を駆使し悪に立ち向かっていく。,大ヒットSF・ファンタジー
ダークナイト,ゴッサムの地下犯罪組織の解体にいそしむバットマン、ゴードン警部補、地方検事。だが新たな悪党が現れ、せっかくの努力が台なしの危機に...。,アカデミー賞受賞映画
イエスマン,仕事も結婚も上手くいかず悶々としていた銀行員が、自己啓発セミナーに参加する。そこで、今後一年間、何にでも「Yes」と答えることを約束させられて…。,ラブコメディ
インクレディブル ハルク,実験中に大量の放射能を浴び、感情が高まると緑色の怪物に変身する体になってしまった若き科学者ブルース。その特殊体質ゆえ軍から追われる身となるが…。,大ヒットSF・ファンタジー
ハンコック,市民からは嫌われ酒に溺れるダメヒーロー、ハンコック。ある日命を助けた相手からイメージアップ戦略を提案されるが…。ウィル・スミス主演のSFアクション。,ダークコメディ
イーグル・アイ,日々を目的もなく過ごしていた普通の男が、突如、悪名高いテロリストに関係があるとして、FBIに追われるはめに。だが男には、全く身に覚えがなかった。,欧米大ヒット映画
紀元前1万年,マンモス狩りの名手デレーの部族を突然襲った異民族の攻撃。連れ去られた恋人と村の人々を救うため、死と隣り合わせの危険な旅に出るデレーだったが…。,アドベンチャー
スラムドッグ$ミリオネア,学校にも行けなかったスラム育ちの若者が、テレビのクイズ番組で賞金を射止めるまであと一問に迫る。だが、彼はカンニングを疑われ逮捕されてしまう。,アカデミー賞受賞映画
エージェント・ゾーハン,イスラエルの対テロ兵士が密かに持つ野望、それは宿命に抗ってもヘア・スタイリストとしてニューヨークで成功することだった。諦めなければ、夢は必ず叶う!?,コミカルなコメディ
俺たちステップ・ブラザーズ -義兄弟-,いい年をして親と同居しているダメ男のブレナンとデールは、親同士が結婚して義理の兄弟に。大人げない言動で衝突を繰り返すさまを描いたドタバタコメディ。,欧米大ヒット映画
フォー・クリスマス,家族が集うクリスマスの日。それぞれ離婚した両親を持つため4つの家を1日で回らなくてはならなくなったカップルのドタバタを描くハートフルコメディ。,ラブコメディ
アイ・アム・レジェンド,新種のウイルスにより人間が恐ろしい食人鬼と化してしまった世界。人類の希望はたった1人生き残った科学者、ロバート・ネビルに託された…。,アメリカ映画
アメリカン・ギャングスター,ニューヨークの暗黒街に君臨した実在の麻薬王、フランク・ルーカス。巨悪に挑み続ける、はみ出し者の刑事。相対する2人の熾烈な闘いを描く実録犯罪サスペンス。,欧米大ヒット映画
ボーン・アルティメイタム,"""ジェイソン・ボーン""シリーズ第3作。人並外れた戦闘能力を身に付けた元CIA工作員が、消された記憶を取り戻すため、新たな手掛かりを追い求める。",欧米大ヒット映画
トランスフォーマー,オートボットとディセプティコンが地球の資源をかけ壮絶な死闘を繰り広げる一方、サムは自分が人類生存の最後の希望だとは気付いていなかった。,大ヒットSF・ファンタジー
ライラの冒険 黄金の羅針盤,寄宿学校に暮らす孤児のライラは聡明な少女だ。ある出来事をきっかけに北へ向かうことを決意する。そこには、大冒険が待ち受けていた。,大ヒットSF・ファンタジー
無ケーカクの命中男/ノックトアップ,"酔った勢いで一晩限りの関係を結んだ結果、妊娠してしまったアリソン。一発で""命中""させたその相手は、自堕落な生活を送る無ケーカクのダメ男だった!",欧米大ヒット映画
幸せのちから,医療機器事業の失敗からホームレス生活を余儀なくされたクリス。幼い息子を抱え、苦境に立たされた彼は、無給で超難関の株トレーダー養成コースに臨む。,欧米大ヒット映画
ディパーテッド,アイルランド系ギャングを壊滅させるため、警察は1人の新人警察官を組織に潜入させる。だが、ギャングもまた、スパイを新人警察官として警察に送り込んでいた。,アカデミー賞受賞映画
タラデガ・ナイト　オーバルの狼,NASCARのトップレーサーとして成功を謳歌するリッキー・ボビー。ある日、フランスのF1レーサーとのレースで大事故を起こし、転落の一途を辿り始める。,コミカルなコメディ
バットマン ビギンズ,幼い頃に両親を殺されたブルース・ウェインは、影の同盟の元で修行を積んでゴッサム・シティーに戻り、新たな装いを身にまとって犯罪者と戦い始める。,アメリカ映画
最後の恋のはじめ方,口がうまくてセクシーなヒッチは、もてない男性にデート必勝法を指南する恋愛コンサルタント。ある日魅力的なレポーターと出会うが、自分の恋はうまく操れない。,ラブコメディ
宇宙戦争,宇宙船団が地球を侵略、刻々と危険が大きくなっていくなか、かつては家族をかえりみなかった港湾労働者の主人公が、家族を守る父親に変わっていく。,大ヒットSF・ファンタジー
奥さまは魔女,60年代の人気番組「奥様は魔女」のリメイク版のサマンサ役に選ばれたイザベル。その天然ぶりはまさにハマリ役。だが、彼女が本物の魔女だとは誰も知らず...。,ラブコメディ
ボーン・スプレマシー,記憶が戻らぬまま、過去を捨て、インドで恋人とひっそり暮らす元CIA工作員のジェイソン・ボーン。だが、再び殺し屋が出現、ボーンは陰謀の究明に乗り出す。,欧米大ヒット映画
アビエイター,不可能と思えるような壮大な計画を、常人離れした情熱で成功させたハワード・ヒューズ。映画界と航空産業に旋風を巻き起こすものの、彼の中で何かが狂い始める。,アカデミー賞受賞映画
50回目のファースト・キス,キュートな美術教師に一目惚れしたヘンリー。しかし彼女は、記憶が毎晩リセットされるという記憶障害を抱えていた…。ハートをくすぐるピュアなラブストーリー。,ラブコメディ
コラテラル,タクシー運転手マックスが乗せた客は、走り回るだけで600ドルを払うという男。楽に金が稼げる機会と思ったのに男が殺し屋だとわかってマックスは...。,ベネチア国際映画祭受賞映画
スパングリッシュ 太陽の国から来たママのこと,ロサンゼルスの裕福な家族が、メキシコ人のハウスキーパーを雇う。身分や文化の違いに戸惑う彼女だったが...。ハートウォーミングなコメディ・ドラマ作品。,欧米大ヒット映画
マトリックス リローデッド,人類の最後の拠点ザイオンが、マトリックスを支配している機械に突き止められた。人類はザイオンを守れるのか。,アメリカ映画
マトリックス レボリューションズ,「マトリックス」3部作の完結編。ネオは意識不明の状態で、マトリックスと機械の世界の境界にある地下鉄の駅で捕らえられていた。,大ヒットSF・ファンタジー
S.W.A.T.,厳しい訓練を終えた特殊部隊S.W.A.T.の精鋭6人は麻薬王の護送を任される。だがその奪還に多額の賞金が懸けられたことで街全体を敵に回すことに…!,欧米大ヒット映画
スクール・オブ・ロック,小学校の臨時教師として働くことになったロック命のミュージシャン、デューイ。真面目一辺倒の生徒たちにロックのイロハを伝授していくが...?,高い評価を得た映画
バッドボーイズ2バッド,スマッシュヒット「バッドボーイズ」の続編。エクスタシーの密輸をめぐり、マイアミ市警の敏腕コンビがキューバの麻薬王に接近。迫力満点のアクション映画。,アメリカ映画
ハルク,遺伝子学者ブルースは、実験中の事故で大量のガンマ線を浴びる。それ以来、抑えきれない怒りが頂点に達すると、怪力を持つ緑色の巨人に変貌するように...。,大ヒットSF・ファンタジー
ロード・オブ・ザ・リング/王の帰還,古代王家の末裔であることを見事証明したアラゴルンは、ガンダルフたち旅の仲間とともにゴンドールを救うためすべてを賭けた大決戦に挑む。,アドベンチャー
ミニミニ大作戦,天才的な窃盗のプロが、壮大な金塊の強奪計画を立て、イタリア・ベニスに仲間を呼び寄せる。仲間の1人の裏切りにより作戦は失敗に終わるが...。,強盗アクション
ランダウン ロッキング・ザ・アマゾン,そろそろ足を洗って長年の夢をかなえたいと考える賞金稼ぎの男に、ボスが命じた最後の任務。それは、彼の道楽息子をアマゾンから連れ戻すというものだった。,アドベンチャー
8 Mile,"プロのラッパーを夢見るジミー。地元デトロイトの""8マイルロード""は街の階級を分断する境界線。同時にそれは今のままくすぶっていて良いのかと彼に問いかける。",欧米大ヒット映画
キャッチ・ミー・イフ・ユー・キャン,狡猾な詐欺師フランク・アバグネイル・Jr は逃げるのも天才的。実話を基した、逮捕に執念を燃やすFBI捜査官との痛快な追跡劇。,欧米大ヒット映画
スパイダーマン,ヒーローの正体は冴えない高校生! クモに刺され驚異的な力を得た高校生ピーター・パーカーと宿敵グリーンゴブリンとの闘いを描く大ヒットSFアクション。,大ヒットSF・ファンタジー
ボーン・アイデンティティー,嵐の海で漁船に救出された1人の男。傷を負い、記憶を失くした彼は、手掛かりをたどり自分の身元を探り始める。だが行く先々に、彼の命を狙う暗殺者が現れる。,アメリカ映画
ロード・オブ・ザ・リング/二つの塔,指輪を滅ぼすためモルドールへの旅を続けるフロドとサム。一方ギムリ、アラゴルン、レゴラスの3人は、オークにさらわれたメリーとピピンの救出に向かう。,アドベンチャー
マイノリティ・リポート,時は進化した技術により犯罪予知が可能になった、21世紀の後半。ある犯罪予防局の警官は、自分が近い将来に殺人を犯すと報告されたことを知る。,アメリカ映画
ギャング・オブ・ニューヨーク,1860年代、犯罪が横行する動乱のニューヨーク。幼い頃に父を殺された青年は、父の命を奪った男が牛耳るギャングに素性を隠して潜入し、報復の時を待ち続ける。,受賞歴のある映画
スクービー・ドゥー,ある依頼を受けてスプーキー・アイランドにやってきたスクービーたちが、人類の未来を脅かす恐ろしい魔法の力に立ち向かう姿を描くアクション・アドベンチャー。,コミカルなコメディ
Mr.ディーズ,金目当ての美女には気を付けろ!? メディア王の資産家から遺産を相続した田舎の純朴青年ディーズ。大都会NYで狙われるのは、お金以上にハートかもしれない。,ラブコメディ
ロード・オブ・ザ・リング,のどかなホビット庄から、噴煙に覆われたモルドールの裂け目へ。フロド・バギンズは、サウロンの指輪を破壊する壮大な旅に出る。,アドベンチャー
ブリジット・ジョーンズの日記,今年こそ生活を改め、恋人を見つけようと誓うブリジット・ジョーンズ。恋や仕事に悩みながらも常に前向きに生きるアラサー独身女子の日常をつづるラブコメディ。,欧米大ヒット映画
バニラ・スカイ,豪邸に高級車、美しい恋人に、自らも端正な顔立ちに恵まれ、完璧な人生を謳歌する男。ところが事故に遭い無残な姿に変わり果てた時から混乱と苦悩に見舞われる。,マインドゲームスリラー
キャスト・アウェイ,フェデックス社のシステムエンジニア、チャック・ノーランドの乗った飛行機が太平洋に墜落。絶海の無人島に漂着した男の生還への孤独な戦いが始まる。,アドベンチャー
グラディエーター,皇帝の死後、帝位を譲られるはずだったローマ軍将軍マキシマス。だが権力に飢えた皇帝の息子コモドゥスに罠にはめられ、処刑を命じられてしまう。,アカデミー賞受賞映画
シャフト,ニューヨークの刑事、シャフトは、殺人容疑で男を逮捕。だが、容疑者は保釈され、海外へ逃亡してしまう。男は2年後に帰国し、法の裁きを受けるかに思えたが…。,欧米大ヒット映画
シックス・デイ,誕生日を迎えたヘリコプターのパイロットが仕事を終えて家に帰ると、そこにはもう1人の自分がいた。近未来を舞台に、クローン技術が絡む陰謀に巻き込まれていく。,大ヒットSF・ファンタジー
デンジャラス・ビューティー,仕事一筋、色気ゼロのFBI捜査官、グレイシー・ハート。連続爆弾犯からミスコンの爆破予告が入り、おとり捜査のためコンテスト出場者として潜入するハメに。,欧米大ヒット映画
